"decade","less than 50% moderate risk","more than 50% moderate risk","total","pct_moderate_risk"
"number_built_1939_or_earlier",13670399,3373466,17043865,19.7928462822253
"number_built_1940s",4552556,1956833,6509389,30.0617001073373
"number_built_1950s",9632076,4170360,13802436,30.2146664545302
"number_built_1960s",9543861,4647875,14191736,32.7505739960213
"number_built_1970s",12377671,7934517,20312188,39.0628375436462
"number_built_1980s",10445002,7728325,18173327,42.5256476153211
"number_built_1990s",10628313,8047391,18675704,43.0901614204209
"number_built_2000s",10350289,8349105,18699394,44.6490672371522
"number_built_2010s",5773809,4259972,10033781,42.4562983784478
"number_built_2020s",139955,118883,258838,45.9295003052102
"number_built_since_1990",26892366,20775351,47667717,43.5836920824213
"number_built_since_2000",16264053,12727960,28992013,43.9016083498583
"number_built_since_2010",5913764,4378855,10292619,42.5436421964128
"total",87113931,50586727,137700658,36.7367358549587
